Parent Sld,ClubbedSlds,links,ips,ASNs
cloudflare.net, 17711, 1295505, 29893, 17
yunjiasu-cdn.net, 6068, 210463, 5907, 21
us-east-1.elb.amazonaws.com, 4254, 199109, 10885, 31
wpengine.com, 3963, 136400, 4072, 19
d5nxst8fruw4z.cloudfront.net, 3331, 75660, 1619, 3
anycast.me, 2667, 116024, 2207, 3
d2t8dj4tr3q9od.cloudfront.net, 2363, 59807, 1316, 8
eu-west-1.elb.amazonaws.com, 1946, 100265, 4476, 25
jiashule.com, 1769, 79038, 2249, 28
kxcdn.com, 1547, 82120, 1235, 7
ap-northeast-1.elb.amazonaws.com, 1308, 60343, 3105, 22
cdntip.com, 1046, 59457, 1080, 10
us-west-2.elb.amazonaws.com, 1031, 45877, 2570, 13
alikunlun.com, 964, 76647, 1155, 17
cdn20.com, 792, 34657, 992, 16
akadns.net, 791, 36908, 1018, 91
windows.net, 783, 28601, 740, 1
scutum.jp, 768, 21871, 768, 4
ap-southeast-1.elb.amazonaws.com, 730, 44386, 1574, 5
ourwebpic.com, 722, 113746, 772, 16

